#Score	Avg.Score	Max_Score	Avg.Max_Score
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
-0.004999999888241291	-0.004999999888241291	0.0	0.0
